auditee_uei,auditee_name,entity_type,auditee_state,auditee_city,auditee_zip,cognizant_agency,oversight_agency,distinct_audits,distinct_audit_years,sum_total_expended,sum_going_concern,sum_internal_control_def,sum_material_weakness_gen,sum_noncompliance,sum_low_risk,sum_is_public,sum_prior_findings,award_count,distinct_agencies,distinct_programs,distinct_clusters,sum_amount_expended,sum_loan_balance,sum_passthrough_amount,max_federal_program_total,sum_findings_on_awards,sum_major_programs,sum_loan_programs,sum_direct_awards,sum_passthrough_awards,primary_program,findings_count,distinct_awards_with_findings,sum_material_weakness,sum_repeat_finding,sum_questioned_costs,sum_significant_deficiency,sum_modified_opinion,sum_other_findings,sum_other_matters,avg_cap_length,cap_count,distinct_audits_with_cap,distinct_cap_years,max_cap_year,min_cap_year,sum_cap_length,sum_has_cap,findings_count_num,material_weakness_num,repeat_finding_num,questioned_costs_num,significant_deficiency_num,modified_opinion_num,other_findings_num,other_matters_num,going_concern_num,internal_control_def_num,material_weakness_gen_num,noncompliance_num,prior_findings_num,low_risk_num,has_cap_num,avg_cap_length_num,cap_count_num,total_expended_num,amount_expended_num,distinct_audit_years_num,risk_points,taxpayer_protection_score,risk_tier,is_problem_entity,dollars_at_risk_red,dollars_at_risk_elevated,risk_per_million,total_federal_exposure,recipient_uei,recipient_name,state_code,state_name,city,business_type,total_funding,Right_award_count,agency_count,primary_agency,program_count,Right_primary_program,first_award_date,last_award_date,first_fiscal_year,last_fiscal_year,total_funding_num,award_count_num,agency_count_num,program_count_num,risk_points_num,taxpayer_protection_score_num,total_expended_num2
FXV5JB3EPZ99,COMMONWEALTH OF MASSACHUSETTS,state,MA,BOSTON,021081518,93,,1,1,32318967027,0,0,0,0,0,0,1,417,22,408,22,32318967027,254027075,4531017616,13868028050,53,40,1,417,230,"PLANT AND ANIMAL DISEASE, PEST CONTROL, AND ANIMAL CARE",53,27,15,24,0,38,15,0,38,254,19,1,1,2022,2022,4826,19,53,15,24,0,38,15,0,38,0,0,0,0,1,0,19,254,19,32318967027,32318967027,1,1181,0,Red - High Risk,1,32318967027,32318967027,3.65420094959522e-02,64637934054,FXV5JB3EPZ99,THE COMMONWEALTH OF MASSACHUSETTS,MA,MASSACHUSETTS,BOSTON,STATE GOVERNMENT,19603698867.34,153,6,Small Business Administration,21,STATE TRADE EXPANSION,2022-10-01,2023-09-30,2023,2023,19603698867.34,417,6,21,1181,0,32318967027
K49NN52HU4L7,NEW MEXICO HUMAN SERVICES DEPARTMENT,state,NM,SANTA FE,87505,93,,1,1,9196924465,0,0,0,0,0,0,1,58,5,29,5,9196924465,0,152127677,7058290019,13,16,0,57,38,STATE ADMINISTRATIVE EXPENSES FOR CHILD NUTRITION,13,13,0,2,0,13,0,0,0,254,2,1,1,2022,2022,508,2,13,0,2,0,13,0,0,0,0,0,0,0,1,0,2,254,2,9196924465,9196924465,1,160,0,Red - High Risk,1,9196924465,9196924465,1.73971201578201e-02,18393848930,K49NN52HU4L7,DEPARTMENT OF HUMAN SERVICES NEW MEXICO,NM,NEW MEXICO,SANTA FE,STATE GOVERNMENT,8872142715.45,230,3,Department of Health and Human Services,27,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE,2022-10-01,2023-09-30,2023,2023,8872142715.45,58,3,27,160,0,9196924465
M22USH2CHRG1,NATIONAL RAILROAD PASSENGER CORPORATION,non-profit,DC,WASHINGTON,20001,20,,1,1,3826122055,0,0,0,0,0,0,1,6,3,6,1,3826122055,561278981,0,3242593404,3,2,1,6,0,NATIONAL RAILROAD PASSENGER CORPORATION GRANTS,3,3,0,3,0,3,0,0,3,254,2,1,1,2022,2022,508,2,3,0,3,0,3,0,0,3,0,0,0,0,1,0,2,254,2,3826122055,3826122055,1,81,19,Red - High Risk,1,3826122055,3826122055,2.1170260340793e-02,7652244110,M22USH2CHRG1,NATIONAL RAILROAD PASSENGER CORPORATION,DC,DISTRICT OF COLUMBIA,WASHINGTON,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),6855298882,31,2,Department of Transportation,5,CONSOLIDATED RAIL INFRASTRUCTURE AND SAFETY IMPROVEMENTS,2022-12-27,2023-09-28,2023,2023,6855298882,6,2,5,81,19,3826122055
UEHJK3XLHM58,NEW YORK CITY HOUSING AUTHORITY,local,NY,NEW YORK,100079998,14,,1,1,3598449013,0,0,0,0,0,0,1,16,2,15,4,3598449013,0,0,1445638265,3,4,0,9,0,COMMUNITY DEVELOPMENT BLOCK GRANTS/ENTITLEMENT GRANTS,3,1,1,1,2,0,1,0,2,254,3,1,1,2022,2022,762,3,3,1,1,2,0,1,0,2,0,0,0,0,1,0,3,254,3,3598449013,3598449013,1,74,26,Red - High Risk,1,3598449013,3598449013,2.05644153168942e-02,7196898026,UEHJK3XLHM58,NEW YORK CITY HOUSING AUTHORITY,NY,NEW YORK,NEW YORK,OTHER,3762374670,1158,1,Department of Housing and Urban Development,8,PUBLIC HOUSING CAPITAL FUND,2022-10-25,2023-09-27,2023,2023,3762374670,16,1,8,74,26,3598449013
F5SRLH4ZQGM4,DEPARTMENT OF HUMAN SERVICES,state,HI,HONOLULU,96813,93,,1,1,3491828002,0,0,0,0,0,0,1,58,10,43,5,3491828002,0,45637475,2120045089,35,19,0,52,14,ACL INDEPENDENT LIVING STATE GRANTS,35,15,30,29,19,5,30,0,5,254,16,1,1,2022,2022,4064,16,35,30,29,19,5,30,0,5,0,0,0,0,1,0,16,254,16,3491828002,3491828002,1,1610,0,Red - High Risk,1,3491828002,3491828002,0.461076547607112,6983656004,F5SRLH4ZQGM4,DEPARTMENT OF HUMAN SERVICES HAWAII,HI,HAWAII,HONOLULU,STATE GOVERNMENT,3581753556.18,215,4,Department of Education,35,REHABILITATION SERVICES VOCATIONAL REHABILITATION GRANTS TO STATES,2022-10-01,2023-09-29,2023,2023,3581753556.18,58,4,35,1610,0,3491828002
D3LYFCJXMRS5,STATE OF LOUISIANA,state,LA,BATON ROUGE,70802,93,,1,1,27151135263,0,0,0,0,0,0,1,930,32,778,28,27151135263,459131797,3874532109,11689914462,117,382,7,704,251,"COVID-19 - PLANT AND ANIMAL DISEASE, PEST CONTROL, AND ANIMAL CARE",117,73,55,86,24,57,53,5,43,254,32,1,1,2022,2022,8128,32,117,55,86,24,57,53,5,43,0,0,0,0,1,0,32,254,32,27151135263,27151135263,1,3796,0,Red - High Risk,1,27151135263,27151135263,0.139809991855956,54302270526,D3LYFCJXMRS5,"ADMINISTRATION, LOUISIANA DIVISION OF",LA,LOUISIANA,BATON ROUGE,STATE GOVERNMENT,2602622532,14,4,Department of Commerce,5,STATE DIGITAL EQUITY PLANNING GRANTS,2022-11-07,2023-09-28,2023,2023,2602622532,930,4,5,3796,0,27151135263
GM1XX56LEP58,UNIVERSITY OF PENNSYLVANIA,higher-ed,PA,PHILADELPHIA,191046205,93,,1,1,1406290267,0,0,0,0,0,0,1,3976,23,477,12,1406290267,39419990,66218550,201281475,7,3813,16,2715,576,AGRICULTURAL RESEARCH BASIC AND APPLIED RESEARCH,7,7,0,6,0,0,0,7,0,254,2,1,1,2022,2022,508,2,7,0,6,0,0,0,7,0,0,0,0,0,1,0,2,254,2,1406290267,1406290267,1,104,0,Red - High Risk,1,1406290267,1406290267,7.39534379498056e-02,2812580534,GM1XX56LEP58,"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA, THE",PA,PENNSYLVANIA,PHILADELPHIA,PRIVATE INSTITUTION OF HIGHER EDUCATION,863071840.3,3149,16,Department of Health and Human Services,112,MENTAL HEALTH RESEARCH GRANTS,2022-10-01,2023-09-30,2023,2023,863071840.3,3976,16,112,104,0,1406290267
WR9DKNPUJVY8,METROPOLITAN COUNCIL OF THE TWIN CITIES AREA,local,MN,SAINT PAUL,551011805,20,,1,1,668630643,0,0,0,0,0,0,1,19,4,15,5,668630643,0,22182851,303818142,4,15,0,9,5,SECTION 8 HOUSING CHOICE VOUCHERS,4,4,4,0,0,0,4,0,0,254,1,1,1,2022,2022,254,1,4,4,0,0,0,4,0,0,0,0,0,0,1,0,1,254,1,668630643,668630643,1,125,0,Red - High Risk,1,668630643,668630643,0.18694925413402,1337261286,WR9DKNPUJVY8,METROPOLITAN COUNCIL MINNESOTA,MN,MINNESOTA,MINNEAPOLIS,SPECIAL DISTRICT GOVERNMENT,791142135,98,2,Department of Transportation,7,FEDERAL TRANSIT FORMULA GRANTS,2022-10-25,2023-09-26,2023,2023,791142135,19,2,7,125,0,668630643
L6NFUM28LQM5,WASHINGTON UNIVERSITY,higher-ed,MO,ST. LOUIS,631121408,93,,1,1,826826267,0,0,0,0,0,0,1,1118,19,171,6,826826267,-2,69759615,104105781,32,1060,2,129,79,AGING RESEARCH,32,32,0,0,32,0,0,0,32,254,1,1,1,2022,2022,254,1,32,0,0,32,0,0,0,32,0,0,0,0,1,0,1,254,1,826826267,826826267,1,549,0,Red - High Risk,1,826826267,826826267,0.663984711071111,1653652534,L6NFUM28LQM5,"WASHINGTON UNIVERSITY, THE",MO,MISSOURI,SAINT LOUIS,PRIVATE INSTITUTION OF HIGHER EDUCATION,727887067.42,2592,11,Department of Health and Human Services,95,"DIABETES, DIGESTIVE, AND KIDNEY DISEASES EXTRAMURAL RESEARCH",2022-10-01,2023-09-29,2023,2023,727887067.42,1118,11,95,549,0,826826267
FFNMUBT6WCM1,DEPARTMENT OF HOUSING OF THE COMMONWEALTH OF PUERTO RICO,local,PR,SAN JUAN,009281365,97,,1,1,702956489,0,0,0,0,0,0,1,5,3,4,1,702956489,0,258806365,701459791,4,2,0,3,2,CHILD AND ADULT CARE FOOD PROGRAM,4,2,2,2,0,2,2,0,2,254,2,1,1,2022,2022,508,2,4,2,2,0,2,2,0,2,0,0,0,0,1,0,2,254,2,702956489,702956489,1,114,0,Red - High Risk,1,702956489,702956489,0.16217219953709,1405912978,FFNMUBT6WCM1,"HOUSING, PR DEPARTMENT OF",PR,PUERTO RICO,SAN JUAN,OTHER,699723021.62,8,1,Department of Housing and Urban Development,2,"COMMUNITY DEVELOPMENT BLOCK GRANTS/STATE'S PROGRAM AND NON-ENTITLEMENT GRANTS IN HAWAII",2022-10-25,2023-09-14,2023,2023,699723021.62,5,1,2,114,0,702956489
